,name,link,company,salary_min,salary_max,currency,source
0,Риск-аналитик,https://hh.ru/vacancy/39062880?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Микрокредитная Компания Кредиттер,200000,NaN,руб.,hh.ru
1,Стажер-аналитик,https://hh.ru/vacancy/39113629?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, BELUGA GROUP. Алкогольное направление. Офис,NaN,NaN,NaN,hh.ru
2,Аналитик,https://hh.ru/vacancy/39122970?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," Contour Components, Ltd",100000,NaN,руб.,hh.ru
3,Маркетолог-аналитик,https://hh.ru/vacancy/39009076?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ОАО Белгазпромбанк,NaN,NaN,NaN,hh.ru
4,Системный аналитик,https://hh.ru/vacancy/36810679?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Франчайзинговая розничная сеть Галамарт,100000,NaN,руб.,hh.ru
5,Менеджер по планированию и аналитике,https://hh.ru/vacancy/38489788?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, BNS Group,NaN,NaN,NaN,hh.ru
6,Бизнес-аналитик,https://hh.ru/vacancy/37813911?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Франчайзинговая розничная сеть Галамарт,80000,NaN,руб.,hh.ru
7,Маркетолог-аналитик,https://hh.ru/vacancy/39016451?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО ГлобалКомтраст,1350,NaN,бел.,hh.ru
8,Системный аналитик,https://hh.ru/vacancy/38111020?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,АО Модный Континент,NaN,100000,руб.,hh.ru
9,Финансовый контролер (аналитик),https://hh.ru/vacancy/39050969?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Video-Shoper.ru,,,,hh.ru
10,Бизнес-аналитик,https://hh.ru/vacancy/39048087?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ОАО Москапстрой,NaN,NaN,NaN,hh.ru
11,UX-аналитик,https://hh.ru/vacancy/38321723?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО СКБ ЛАБ,NaN,NaN,NaN,hh.ru
